Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Greece,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden
6857,20090,2492,1199,260.3,7343,4812,816,4009,24857,61570,5122,6669,27368,747.3,1929,324.6,168.1,40632,11384,4018,2745,4692,4664,2458,19697,7036
6144,19649,2412,1287,350.6,6769,4659,809.9,4129,24859,60854,5459,6026,26737,832.5,1906,246,222.6,37440,12063,4497,2764,4755,5002,2716,19140,7013
7516,23295,2701,1580,431.7,7827,5422,915.5,4995,30066,72727,5797,8648,31944,897.5,2579,299.5,187.3,47861,14302,4266,2997,5298,5547,3082,20726,8491
7139,22764,2710,1630,352.2,7219,5161,910.2,4428,27450,68523,5369,7567,30690,926.2,2601,305.8,288.8,44817,14148,4526,3022,5020,5074,3104,22441,7901
7261,23441,2795,1605,586.9,7854,5538,906.1,4974,29755,73571,5713,9332,31016,1006,2246,263.8,313.6,50211,13154,5335,3610,5351,5727,3616,23088,8496
6497,23337,3239,1632,683.7,8334,5504,921.8,4729,30779,71439,6152,9006,33273,785.5,2286,261.6,305.3,49960,13963,5653,3679,5546,5623,3410,24166,8304
6363,23482,3042,1801,515.7,7261,5170,842.4,4879,29391,69645,5562,7413,35099,802.6,2634,264.3,436.7,47052,13398,5528,3506,6172,4683,3130,22823,8037
6981,26591,2653,2158,400.7,8278,6101,817,4929,30523,75326,6322,8996,31387,955.3,3013,262.7,296.4,52293,14193,5440,3780,6281,5004,3367,22393,8356
7460,26324,3279,1947,376.6,9172,5634,770.2,4330,33978,76051,7505,8409,36003,871.1,3116,326.2,261.3,54164,15230,5337,3389,6082,5718,3599,23898,8168
7845,23286,3120,1689,401,8996,5421,779.6,4709,28928,72809,7010,8270,32636,857.3,3052,378.9,354.7,55258,15903,6030,3068,5963,5703,3267,22079,8386
8314,22040,2876,1512,449.6,9556,5359,796.5,4553,31007,76050,7841,7859,30968,798.2,2517,315.9,402.2,50629,15213,5679,3345,5621,6194,3129,21731,8648
6353,21507,2486,1444,333.8,7536,4952,652,4113,28937,63004,5643,7435,27883,1145,2569,315.6,334.9,45872,14558,4538,2696,5073,5056,2975,20218,7569
